Rk,Conf,W-L,NetRtg,ORtg,DRtg,AdjT,Luck,NetRtgSOS,ORtgSOS,DRtgSOS,NetRtgNCSOS,Wins,Losses,Team Name,Seed
1,ACC,32-2,38.9,128.0,89.1,65.3,0.049,14.29,117.0,102.7,10.07,32,2,Duke,1
2,B12,32-2,37.66,127.7,90.0,69.8,0.023,14.97,117.6,102.7,3.25,32,2,Arizona,1
3,B10,31-3,37.59,126.6,89.0,70.9,0.045,16.65,119.1,102.5,12.49,31,3,Michigan,1
4,SEC,26-7,33.79,125.5,91.7,70.5,-0.036,16.01,119.4,103.4,7.96,26,7,Florida,1
5,B12,28-6,33.43,124.9,91.4,63.3,-0.006,13.58,116.9,103.3,0.87,28,6,Houston,2
6,B12,27-7,32.42,123.8,91.4,66.5,-0.012,12.44,115.6,103.1,-3.57,27,7,Iowa St.,2
8,B10,27-8,31.2,131.6,100.4,64.4,-0.006,15.88,118.3,102.5,6.31,27,8,Purdue,2
11,BE,29-5,27.87,122.0,94.1,64.4,0.055,12.01,115.3,103.3,7.63,29,5,Connecticut,2
7,B10,24-8,32.1,131.2,99.1,65.5,-0.05,13.64,117.0,103.4,3.76,24,8,Illinois,3
9,B10,25-7,28.31,123.0,94.7,66.0,0.005,13.69,118.0,104.4,3.65,25,7,Michigan St.,3
10,WCC,30-3,28.1,122.0,93.9,68.6,0.072,5.89,113.0,107.1,8.31,30,3,Gonzaga,3
13,ACC,29-5,26.71,122.5,95.8,65.7,0.056,9.95,115.4,105.5,-3.27,29,5,Virginia,3
18,SEC,23-9,25.72,129.0,103.3,73.1,0.019,16.75,119.4,102.7,13.42,23,9,Alabama,4
15,SEC,26-8,26.05,127.7,101.6,71.0,0.051,14.95,118.9,103.9,4.41,26,8,Arkansas,4
21,B12,23-10,24.44,118.3,93.9,67.6,0.053,16.95,118.0,101.0,10.99,23,10,Kansas,4
14,B10,26-6,26.16,118.5,92.4,66.7,0.034,11.59,116.4,104.8,-6.03,26,6,Nebraska,4
